index,gold_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,"\left( 3, \frac{\pi}{2} \right)",True,520,1.0,962,84,1046
1,p - q,True,1052,0.6,4413,147,4560
2,\frac{14}{3},True,668,1.0,700,84,784
3,9,True,614,1.0,462,51,513
4,\text{Evelyn},True,1042,0.6,985,376,1361
5,42,True,826,1.0,359,78,437
6,27,True,644,1.0,841,56,897
7,90^\circ,True,1162,1.0,2830,103,2933
8,3\sqrt{13},True,717,1.0,749,71,820
9,4,False,1719,0.6,1061,186,1247
10,2220,True,1103,1.0,2805,62,2867
11,\frac{3}{56},False,1258,0.4,7746,96,7842
12,284,True,823,1.0,3734,108,3842
13,5,True,23,1.0,645,212,857
14,\sqrt{51},True,799,1.0,3134,150,3284
15,6 - 5i,True,1253,1.0,5830,215,6045
16,-50,True,769,1.0,406,60,466
17,\pi,True,866,1.0,7308,248,7556
18,28,False,2084,0.4,11256,187,11443
19,3,True,1366,1.0,10948,84,11032
20,6+9i,False,1111,0.4,1432,49,1481
21,13535,True,1243,0.8,8919,66,8985
22,5,True,535,0.8,938,164,1102
23,x=5,True,780,1.0,645,65,710
24,10,True,1427,0.4,1048,140,1188
25,"1,-2",True,1079,1.0,4499,116,4615
26,144,False,1699,0.8,11363,89,11452
27,78,True,827,0.8,464,118,582
28,-2 + 7i,True,601,1.0,867,72,939
29,225,True,520,1.0,584,115,699
30,52_8,True,609,1.0,455,60,515
31,11\sqrt2,True,289,1.0,262,47,309
32,720,True,1071,1.0,2779,88,2867
33,\frac{243}{625},True,1413,0.4,2746,85,2831
34,-125,True,947,1.0,1902,70,1972
35,3,True,685,1.0,1787,78,1865
36,"3, 5, 7",True,1099,1.0,2801,66,2867
37,72,True,657,1.0,913,71,984
38,2000,True,612,1.0,278,79,357
39,23,False,659,0.8,426,64,490
40,12,True,684,1.0,381,148,529
41,17,False,2000,0.4,3422,87,3509
42,4,True,607,0.8,397,76,473
43,70 \sqrt{2},True,1466,0.4,14183,122,14305
44,1.25,True,809,0.8,1211,101,1312
45,2,True,926,1.0,1142,74,1216
46,6,True,1473,1.0,7235,81,7316
47,5,True,592,1.0,1121,88,1209
48,\frac{3}{2},True,525,1.0,394,56,450
49,83,True,562,1.0,434,63,497
50,203,False,1343,0.4,1048,137,1185
51,x^5 - x^4 + x^3 - x^2 + x - 1,True,1380,1.0,892,58,950
52,12,True,520,1.0,1009,67,1076
53,-\frac{\pi}{6},True,907,1.0,474,64,538
54,0.15,True,588,1.0,353,50,403
55,3,True,934,1.0,1000,90,1090
56,11,True,431,1.0,271,63,334
57,16,True,676,1.0,1021,91,1112
58,9901,True,343,1.0,333,53,386
59,5,False,663,0.4,499,86,585
60,"(6,31,-1)",True,1548,1.0,3337,87,3424
61,-256,True,874,1.0,2616,106,2722
62,4,True,1388,0.6,3630,142,3772
63,10,True,1186,0.6,4360,126,4486
64,\frac{35}{64},True,1088,0.4,7143,102,7245
65,1,True,346,1.0,350,57,407
66,x^3+3x-6,True,753,1.0,836,75,911
67,10,True,757,1.0,1739,87,1826
68,46,True,1331,1.0,5504,103,5607
69,-1,True,941,0.8,4642,93,4735
70,40_9,True,758,1.0,1072,58,1130
71,2516_8,False,88,0.4,1933,64,1997
72,3,True,849,1.0,1369,71,1440
73,\frac{3\sqrt{3}}{4},True,544,1.0,1673,108,1781
74,\cot x,True,817,1.0,1813,64,1877
75,\frac{11}{36},True,924,1.0,917,75,992
76,0,True,787,1.0,3888,76,3964
77,4,True,591,1.0,400,56,456
78,"(-2,1)",True,1193,1.0,1804,106,1910
79,2,True,486,1.0,343,59,402
80,501,False,1744,0.4,7218,55,7273
81,3,True,292,1.0,555,86,641
82,\frac{3}{2},True,998,1.0,3497,124,3621
83,2,True,292,0.4,670,60,730
84,-1,True,1160,1.0,1905,93,1998
85,\sqrt{5},True,824,1.0,1438,98,1536
86,240,True,239,1.0,201,75,276
87,1,True,487,1.0,621,60,681
88,2,True,1493,0.6,4859,82,4942
89,21,True,612,0.8,931,62,993
90,\frac{3}{2},True,766,0.6,364,80,444
91,1,True,931,1.0,535,80,615
92,\frac{448}{15625},False,1322,0.8,651,77,728
93,33,True,1028,1.0,1117,80,1197
94,80,False,1543,0.6,9886,385,10271
95,-4,True,1193,1.0,2216,116,2332
96,1 \pm \sqrt{19},False,0,0.8,4795,48,4844
97,\text{east},True,419,1.0,325,82,407
98,2k+2,True,411,1.0,264,55,319
99,\begin{pmatrix} -1/3 \\ 2/3 \\ 5/3 \end{pmatrix},True,632,1.0,1493,133,1626
100,145^\circ,False,1247,0.8,7546,238,7784
101,850,False,1599,0.4,7874,152,8026
102,(a+5)(b+2),True,622,0.8,496,52,548
103,"(3,4]",False,787,0.8,9055,95,9151
104,40,False,1687,0.4,10314,117,10431
105,29,False,2398,0.4,1544,352,1896
106,\frac43,True,1037,1.0,1104,87,1191
107,9,False,18,0.6,539,69,608
108,2,True,1495,0.6,9891,122,10013
109,120^\circ,True,1955,1.0,3646,178,3824
110,504,False,0,1.0,0,0,0
111,210,True,881,1.0,433,89,522
112,13,True,1147,1.0,2005,113,2118
113,8000,True,425,1.0,418,67,485
114,-5,True,1177,1.0,1774,112,1886
115,1260,False,869,0.8,422,55,477
116,2,True,539,1.0,414,62,476
117,3,True,494,0.6,533,56,589
