index,gold_clean,predicted_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,18,,False,0,0,0,0,0
1,3,,False,0,0,0,0,0
2,70000,,False,0,0,0,0,0
3,540,180,False,486,0,225,77,302
4,20,20,True,3480,0,1326,153,1479
5,64,64,True,876,0,442,98,540
6,260,260,True,544,0,333,84,417
7,160,80,False,700,0,468,112,580
8,45,195,False,1001,0,480,146,626
9,460,460,True,887,0,524,102,626
10,366,366,True,505,0,380,102,482
11,694,694,True,433,0,329,107,436
12,13,,False,1883,0,783,109,892
13,18,24,False,1272,0,657,100,757
14,60,60,True,838,0,452,94,546
15,125,125,True,562,0,2146,136,2282
16,230,230,True,528,0,251,95,346
17,57500,57,False,651,0,311,100,411
18,7,7,True,322,0,1483,71,1554
19,6,6,True,1420,0,599,107,706
20,15,15,True,961,0,555,105,660
21,14,23,False,937,0,315,88,403
22,7,7,True,817,0,401,97,498
23,8,8,True,573,0,331,82,413
24,26,26,True,739,0,403,81,484
25,2,2,True,1046,0,535,110,645
26,243,243,True,643,0,482,111,593
27,16,16.00,True,775,0,391,101,492
28,25,20,False,694,0,339,92,431
29,104,102,False,1117,0,505,111,616
30,109,109,True,626,0,445,81,526
31,80,80,True,896,0,504,105,609
32,35,35,True,361,0,216,83,299
33,70,70,True,539,0,411,73,484
34,23,23,True,668,0,315,83,398
35,9,9,True,419,0,294,94,388
36,75,75.00,True,903,0,435,86,521
37,2,3,False,1184,0,507,105,612
38,10,10,True,1038,0,502,86,588
39,18,18,True,1423,0,696,115,811
40,8,8,True,769,0,324,86,410
41,200,1800,False,779,0,476,170,646
42,26,26.,True,373,0,382,124,506
43,48,120,False,1798,0,816,103,919
44,20,20,True,843,0,451,119,570
45,104,104,True,910,0,502,136,638
46,163,163,True,601,0,3012,136,3148
47,800,800,True,844,0,558,92,650
48,8,8,True,545,0,356,79,435
49,30,30,True,641,0,297,85,382
50,294,294,True,702,0,410,79,489
51,5,5,True,29079,0,9683,91,9774
52,15,15,True,686,0,396,104,500
53,40,40,True,948,0,360,142,502
54,40,33,False,756,0,345,124,469
55,14,14,True,424,0,276,92,368
56,3,3,True,725,0,309,87,396
57,83,83,True,797,0,386,119,505
58,57,40.00,False,1128,0,7374,126,7500
59,187,120,False,692,0,318,74,392
60,17,17,True,681,0,379,80,459
61,1430,1430,True,522,0,366,104,470
62,25000,0,False,147,0,4457,110,4567
63,1596,1,False,777,0,431,111,542
64,300,300,True,630,0,335,135,470
65,36,36,True,683,0,298,89,387
66,48,56,False,655,0,352,100,452
67,595,595,True,609,0,337,96,433
68,36,36,True,787,0,382,79,461
69,60,60,True,748,0,366,94,460
70,7425,7425,True,731,0,445,95,540
71,60,60,True,429,0,218,86,304
72,221,221,True,574,0,328,92,420
73,255,255,True,962,0,524,87,611
74,88,86,False,664,0,538,168,706
75,60,7.5,False,934,0,518,108,626
76,5,6,False,1181,0,697,129,826
77,100,120,False,662,0,346,87,433
78,6,6,True,892,0,514,85,599
79,70,70,True,493,0,276,90,366
80,10,10,True,821,0,452,77,529
81,17,17,True,621,0,378,101,479
82,623,623,True,601,0,334,72,406
83,600,600,True,403,0,271,74,345
84,15,15,True,783,0,495,66,561
85,44,44,True,251,0,485,125,610
86,22,22,True,554,0,313,130,443
87,9360,660,False,965,0,413,121,534
88,8000,8000,True,408,0,349,82,431
89,24,18,False,631,0,353,92,445
90,225,225,True,728,0,393,128,521
91,28,28,True,502,0,303,78,381
92,4,4,True,546,0,386,93,479
93,36,36,True,1978,0,8382,126,8508
94,348,348,True,1041,0,564,93,657
95,40,40,True,667,0,392,84,476
96,3,3,True,489,0,283,74,357
97,12,1,False,838,0,439,96,535
98,5,15,False,945,0,446,138,584
99,58,58,True,978,0,441,124,565
100,175,685,False,965,0,427,137,564
101,6,6,True,541,0,356,119,475
102,26,19,False,1109,0,431,107,538
103,140,140,True,618,0,336,106,442
104,500,500,True,772,0,384,90,474
105,20,20,True,391,0,251,72,323
106,72,72,True,718,0,916,86,1002
107,3,1,False,1173,0,769,157,926
108,50,50,True,862,0,511,122,633
109,28,28.00,True,586,0,307,103,410
110,45,45,True,668,0,419,129,548
