index,gold_clean,predicted_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,18,18,True,912,0.8,365,103,468
1,3,3,True,434,1.0,233,64,297
2,70000,70,False,956,0.8,513,95,608
3,540,540,True,433,0.6,292,73,365
4,20,20,True,575,0.8,348,149,497
5,64,64,True,521,0.8,314,94,408
6,260,260,True,840,1.0,422,80,502
7,160,140,False,121,0.4,1367,108,1475
8,45,325,False,1239,0.4,693,142,835
9,460,460,True,929,1.0,529,98,627
10,366,366,True,720,0.6,412,98,510
11,694,694,True,548,0.6,353,103,456
12,13,12,False,1043,1.0,506,105,611
13,18,18,True,943,1.0,575,96,671
14,60,60,True,1222,1.0,631,90,721
15,125,221,False,686,0.4,370,132,502
16,230,230,True,666,1.0,320,91,411
17,57500,57500,True,1079,0.6,549,96,645
18,7,7,True,547,1.0,340,67,407
19,6,,False,1177,0.4,585,103,688
20,15,14.67,False,1113,0.4,552,101,653
21,14,14,True,657,0.4,313,84,397
22,7,7,True,633,1.0,351,93,444
23,8,8,True,547,1.0,304,78,382
24,26,26,True,651,0.6,380,77,457
25,2,2,True,662,1.0,437,106,543
26,243,243,True,575,1.0,400,107,507
27,16,16.00,True,824,1.0,387,97,484
28,25,25,True,494,0.8,289,88,377
29,104,104,True,609,0.6,345,107,452
30,109,109,True,384,1.0,326,77,403
31,80,80,True,16,1.0,973,101,1074
32,35,35,True,624,1.0,291,79,370
33,70,70,True,728,1.0,499,69,568
34,23,23,True,559,1.0,344,79,423
35,9,9,True,570,1.0,319,90,409
36,75,75.00,True,646,1.0,358,82,440
37,2,2,True,1431,0.8,713,101,814
38,10,10,True,879,0.8,433,82,515
39,18,18,True,1916,1.0,813,111,924
40,8,8,True,637,0.8,322,82,404
41,200,200.,True,106,0.4,399,166,565
42,26,26,True,823,1.0,372,120,492
43,48,48,True,22,0.8,552,99,651
44,20,20,True,800,0.6,414,115,529
45,104,104,True,883,1.0,509,132,641
46,163,263,False,517,0.4,393,132,525
47,800,800,True,1200,1.0,606,88,694
