index,gold_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,"\left( 3, \frac{\pi}{2} \right)",True,965,1.0,334,98,432
1,p - q,True,1522,1.0,652,161,813
2,\frac{14}{3},True,1105,1.0,514,98,612
3,9,True,1179,1.0,447,65,512
4,\text{Evelyn},True,1485,1.0,521,390,911
5,42,True,1040,1.0,268,92,360
6,27,True,1230,1.0,395,70,465
7,90^\circ,False,2243,1.0,1011,117,1128
8,3\sqrt{13},True,985,1.0,388,85,473
9,4,False,1511,1.0,695,200,895
10,2220,True,1037,1.0,315,76,391
11,\frac{3}{56},False,1900,1.0,918,110,1028
12,284,True,1314,1.0,548,122,670
13,5,True,597,1.0,209,226,435
14,\sqrt{51},False,637,1.0,203,164,367
15,6 - 5i,True,1386,1.0,604,229,833
16,-50,True,530,1.0,190,74,264
17,\pi,False,1855,1.0,584,262,846
18,28,False,1593,0.6,599,201,800
19,3,True,1557,1.0,551,98,649
20,6+9i,True,465,1.0,165,63,228
21,13535,True,1769,0.2,970,80,1050
22,5,False,2283,1.0,787,178,965
23,x=5,True,1506,1.0,640,79,719
24,10,False,1202,1.0,414,154,568
25,"1,-2",False,2264,1.0,994,130,1124
26,144,False,2308,1.0,617,103,720
27,78,True,1173,1.0,344,132,476
28,-2 + 7i,True,733,1.0,234,86,320
29,225,True,1339,1.0,466,129,595
30,52_8,True,926,1.0,329,74,403
31,11\sqrt2,True,1018,1.0,406,61,467
32,720,True,1204,1.0,342,102,444
33,\frac{243}{625},False,1623,1.0,689,99,788
34,-125,True,1763,1.0,812,84,896
35,3,True,733,1.0,325,92,417
36,"3, 5, 7",True,2090,1.0,1109,80,1189
37,72,True,1290,1.0,303,85,388
38,2000,True,812,1.0,260,93,353
39,23,True,1296,1.0,531,78,609
40,12,True,696,1.0,208,162,370
41,17,False,2268,0.8,732,101,833
42,4,True,732,1.0,296,90,386
43,70 \sqrt{2},False,1745,1.0,841,136,977
44,1.25,True,1287,1.0,463,115,578
45,2,True,1066,1.0,368,88,456
46,6,True,2574,1.0,1044,95,1139
47,5,True,1173,1.0,363,102,465
48,\frac{3}{2},True,776,1.0,272,70,342
49,83,True,769,1.0,311,77,388
50,203,True,2502,0.8,914,151,1065
51,x^5 - x^4 + x^3 - x^2 + x - 1,True,1875,1.0,672,72,744
52,12,True,795,1.0,323,81,404
