index,gold_clean,predicted_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,18,18,True,1010,0,273,117,390
1,3,3,True,690,0,180,78,258
2,70000,195000,False,941,0,341,109,450
3,540,180,False,656,0,174,87,261
4,20,140,False,1457,0,392,163,555
5,64,64,True,795,0,263,108,371
6,260,INVALID,False,3263,0,3072,94,3166
7,160,140,False,1318,0,401,122,523
8,45,120,False,2001,0,635,156,791
9,460,460,True,1007,0,271,112,383
10,366,366,True,886,0,279,112,391
11,694,694,True,950,0,313,117,430
12,13,12,False,1159,0,322,119,441
13,18,18,True,1075,0,378,110,488
14,60,60,True,1465,0,385,104,489
15,125,96,False,1131,0,326,146,472
16,230,230,True,671,0,182,105,287
17,57500,57500,True,1157,0,362,110,472
18,7,7,True,1082,0,323,81,404
19,6,6,True,1466,0,392,117,509
20,15,15,True,1346,0,379,115,494
21,14,8,False,1008,0,283,98,381
22,7,7,True,684,0,198,107,305
23,8,8,True,750,0,215,92,307
24,26,26,True,605,0,207,91,298
25,2,2,True,1050,0,314,120,434
26,243,243,True,1036,0,361,121,482
27,16,16,True,962,0,266,111,377
28,25,25,True,677,0,172,102,274
29,104,104,True,795,0,229,121,350
30,109,109,True,1552,0,585,91,676
31,80,80,True,898,0,304,115,419
32,35,35,True,832,0,233,93,326
33,70,70,True,886,0,285,83,368
34,23,23,True,646,0,222,93,315
35,9,9,True,720,0,227,104,331
36,75,75,True,864,0,299,96,395
37,2,2,True,1114,0,334,115,449
38,10,10,True,819,0,253,96,349
39,18,18,True,1401,0,412,125,537
40,8,8,True,650,0,193,96,289
41,200,200,True,1398,0,358,180,538
42,26,26,True,902,0,226,134,360
43,48,48,True,1421,0,426,113,539
44,20,160,False,995,0,318,129,447
45,104,104,True,1213,0,314,146,460
46,163,163,True,781,0,250,146,396
47,800,800,True,971,0,327,102,429
48,8,8,True,598,0,179,89,268
49,30,30,True,915,0,245,95,340
50,294,294,True,932,0,262,89,351
51,5,16,False,1671,0,542,101,643
52,15,15,True,882,0,272,114,386
53,40,40,True,1332,0,364,152,516
54,40,19,False,2207,0,476,134,610
55,14,14,True,761,0,230,102,332
56,3,3,True,663,0,181,97,278
57,83,83,True,1134,0,285,129,414
58,57,57,True,704,0,259,136,395
59,187,187,True,609,0,161,84,245
60,17,17,True,1055,0,310,90,400
61,1430,1430,True,632,0,216,114,330
62,25000,2500,False,1113,0,292,120,412
63,1596,1596,True,1252,0,370,121,491
64,300,300,True,928,0,261,145,406
65,36,36,True,1488,0,415,99,514
66,48,48,True,919,0,244,110,354
67,595,595,True,884,0,277,106,383
68,36,36,True,794,0,241,89,330
69,60,60,True,826,0,219,104,323
70,7425,7425,True,1156,0,328,105,433
71,60,60,True,750,0,172,96,268
72,221,221,True,785,0,221,102,323
73,255,255,True,1068,0,305,97,402
74,88,88,True,907,0,300,178,478
75,60,60,True,913,0,281,118,399
76,5,5,True,1979,0,580,139,719
77,100,100,True,1226,0,326,97,423
78,6,6,True,1075,0,317,95,412
79,70,70,True,737,0,225,100,325
80,10,10,True,1072,0,308,87,395
81,17,17,True,657,0,217,111,328
82,623,623,True,1060,0,322,82,404
83,600,600,True,610,0,184,84,268
84,15,15,True,883,0,277,76,353
85,44,44,True,957,0,252,135,387
86,22,22,True,747,0,220,140,360
87,9360,798.6,False,985,0,346,131,477
88,8000,8000,True,701,0,223,92,315
89,24,18,False,913,0,268,102,370
90,225,225,True,1106,0,323,138,461
91,28,28,True,1077,0,312,88,400
92,4,4,True,686,0,230,103,333
93,36,36,True,1062,0,298,136,434
94,348,348,True,1345,0,393,103,496
95,40,40,True,1304,0,394,94,488
96,3,3,True,764,0,215,84,299
97,12,12,True,999,0,274,106,380
98,5,5,True,1017,0,304,148,452
99,58,40,False,965,0,255,134,389
100,175,695,False,706,0,210,147,357
101,6,8.5,False,1089,0,321,129,450
102,26,15,False,1228,0,337,117,454
103,140,140,True,990,0,275,116,391
104,500,500,True,972,0,295,100,395
105,20,20,True,946,0,242,82,324
106,72,72,True,1195,0,390,96,486
107,3,3,True,1016,0,358,167,525
108,50,50,True,844,0,261,132,393
109,28,28,True,938,0,300,113,413
110,45,45,True,1057,0,296,139,435
111,16,16,True,1214,0,382,122,504
112,24,24,True,821,0,213,114,327
113,25,25,True,774,0,206,82,288
114,6,6,True,1194,0,346,133,479
115,90,0,False,1252,0,445,145,590
116,42,42,True,900,0,263,104,367
117,360,360,True,601,0,178,82,260
118,4,4,True,1274,0,304,125,429
119,95200,99076.92,False,1443,0,562,135,697
120,240,240,True,887,0,249,93,342
121,27,27,True,945,0,275,105,380
122,48,48,True,1228,0,435,113,548
123,50,50,True,810,0,222,89,311
124,10,10,True,761,0,201,122,323
125,10,10,True,688,0,209,169,378
126,82,82,True,742,0,210,107,317
127,120,120,True,676,0,181,87,268
128,880,880,True,1142,0,374,137,511
129,10000,40000,False,1674,0,549,115,664
130,30,30,True,581,0,190,106,296
131,940,940,True,684,0,190,86,276
132,60,60,True,1389,0,399,110,509
133,13,13,True,1039,0,253,98,351
134,720,720,True,655,0,200,80,280
135,40,40,True,829,0,236,98,334
136,6,6,True,807,0,204,96,300
137,29,29,True,1144,0,400,127,527
138,105,105,True,1142,0,290,125,415
139,70,70,True,752,0,214,98,312
140,20,20,True,988,0,276,91,367
141,400,400,True,1189,0,400,92,492
142,140,140,True,892,0,234,98,332
143,16,16.30,False,1105,0,364,109,473
144,20,20,True,1216,0,345,185,530
145,4000,4000,True,1233,0,357,100,457
