index,gold_clean,predicted_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,18,18,True,1010,1.0,273,117,390
1,3,3,True,690,1.0,180,78,258
2,70000,195000,False,977,1.0,341,109,450
3,540,180,False,656,1.0,174,87,261
4,20,140,False,1457,1.0,392,163,555
5,64,64,True,795,1.0,263,108,371
6,260,INVALID,False,3263,1.0,3072,94,3166
7,160,140,False,1318,1.0,401,122,523
8,45,120,False,2001,1.0,635,156,791
9,460,460,True,1007,1.0,271,112,383
10,366,366,True,886,1.0,279,112,391
11,694,694,True,950,1.0,313,117,430
12,13,12,False,1159,1.0,322,119,441
13,18,18,True,1075,1.0,378,110,488
14,60,60,True,1465,1.0,385,104,489
15,125,96,False,1131,1.0,326,146,472
16,230,230,True,671,1.0,182,105,287
17,57500,57500,True,1157,1.0,362,110,472
18,7,7,True,1082,1.0,323,81,404
19,6,6,True,1466,1.0,392,117,509
20,15,15,True,1346,1.0,379,115,494
21,14,8,False,1008,0.6,283,98,381
22,7,7,True,684,1.0,198,107,305
23,8,8,True,750,1.0,215,92,307
24,26,26,True,605,1.0,207,91,298
25,2,2,True,1050,1.0,314,120,434
26,243,243,True,1036,1.0,361,121,482
27,16,16,True,962,1.0,266,111,377
28,25,25,True,677,1.0,172,102,274
29,104,104,True,795,1.0,229,121,350
30,109,109,True,1552,1.0,585,91,676
31,80,80,True,886,1.0,306,115,421
32,35,35,True,832,1.0,233,93,326
33,70,70,True,886,1.0,285,83,368
34,23,23,True,646,1.0,222,93,315
35,9,9,True,720,1.0,227,104,331
36,75,75,True,864,1.0,299,96,395
37,2,2,True,1114,1.0,334,115,449
38,10,10,True,819,1.0,253,96,349
39,18,18,True,1401,1.0,412,125,537
40,8,8,True,650,1.0,193,96,289
41,200,200,True,1398,1.0,358,180,538
42,26,26,True,902,1.0,226,134,360
43,48,48,True,1421,1.0,426,113,539
44,20,-160,False,995,1.0,318,129,447
45,104,104,True,1213,1.0,314,146,460
46,163,163,True,781,1.0,250,146,396
47,800,800,True,971,1.0,327,102,429
48,8,8,True,598,1.0,179,89,268
49,30,30,True,915,1.0,245,95,340
50,294,294,True,932,1.0,262,89,351
51,5,16,False,1671,1.0,542,101,643
52,15,15,True,882,1.0,272,114,386
53,40,40,True,1332,1.0,364,152,516
54,40,19,False,2207,1.0,476,134,610
55,14,14,True,761,1.0,230,102,332
56,3,3,True,663,1.0,181,97,278
57,83,83,True,1134,1.0,285,129,414
58,57,57,True,704,0.8,259,136,395
59,187,187,True,609,1.0,161,84,245
60,17,17,True,937,1.0,276,90,366
61,1430,1430,True,632,1.0,216,114,330
62,25000,2500,False,1113,1.0,292,120,412
63,1596,1596,True,1252,1.0,370,121,491
64,300,300,True,928,1.0,261,145,406
65,36,36,True,1488,1.0,415,99,514
66,48,48,True,919,1.0,244,110,354
67,595,595,True,884,1.0,277,106,383
68,36,36,True,794,1.0,241,89,330
69,60,60,True,826,1.0,219,104,323
70,7425,7425,True,1156,1.0,328,105,433
71,60,60,True,750,1.0,172,96,268
72,221,221,True,785,1.0,221,102,323
73,255,255,True,1068,1.0,305,97,402
74,88,88,True,907,1.0,300,178,478
75,60,60,True,913,1.0,281,118,399
76,5,5,True,1979,1.0,580,139,719
77,100,100,True,1226,1.0,326,97,423
78,6,6,True,1075,1.0,317,95,412
79,70,70,True,737,1.0,225,100,325
80,10,10,True,1072,1.0,308,87,395
81,17,17,True,657,1.0,217,111,328
82,623,623,True,1060,1.0,322,82,404
83,600,600,True,610,1.0,184,84,268
84,15,15,True,883,1.0,277,76,353
85,44,44,True,957,1.0,252,135,387
86,22,22,True,747,1.0,220,140,360
87,9360,798.6,False,985,1.0,346,131,477
88,8000,8000,True,701,1.0,223,92,315
89,24,18,False,913,1.0,268,102,370
90,225,225,True,1106,1.0,323,138,461
91,28,28,True,1077,1.0,312,88,400
92,4,4,True,686,1.0,230,103,333
93,36,36,True,1062,1.0,298,136,434
94,348,348,True,1345,1.0,393,103,496
95,40,40,True,1304,1.0,394,94,488
96,3,3,True,764,1.0,215,84,299
97,12,12,True,999,1.0,274,106,380
98,5,5,True,1017,1.0,304,148,452
99,58,40,False,965,1.0,255,134,389
100,175,695,False,706,1.0,210,147,357
101,6,8.5,False,1089,1.0,321,129,450
102,26,15,False,1206,1.0,332,117,449
103,140,140,True,988,1.0,275,116,391
104,500,500,True,972,1.0,295,100,395
105,20,20,True,946,1.0,242,82,324
106,72,72,True,1195,1.0,390,96,486
107,3,3,True,1016,1.0,358,167,525
108,50,50,True,844,1.0,261,132,393
109,28,28,True,938,1.0,300,113,413
110,45,45,True,1057,1.0,296,139,435
111,16,16,True,1214,1.0,382,122,504
112,24,24,True,821,1.0,213,114,327
113,25,25,True,774,1.0,206,82,288
114,6,6,True,1194,1.0,346,133,479
115,90,0,False,1252,1.0,445,145,590
116,42,42,True,900,1.0,263,104,367
117,360,360,True,601,1.0,178,82,260
118,4,4,True,1274,1.0,304,125,429
119,95200,99076.92,False,1443,1.0,562,135,697
120,240,240,True,887,1.0,249,93,342
121,27,27,True,945,1.0,275,105,380
122,48,48,True,1228,1.0,435,113,548
123,50,50,True,810,1.0,222,89,311
124,10,10,True,761,1.0,201,122,323
125,10,10,True,688,1.0,209,169,378
126,82,82,True,742,1.0,210,107,317
127,120,120,True,676,1.0,181,87,268
128,880,880,True,1142,1.0,374,137,511
129,10000,40000,False,1674,1.0,549,115,664
130,30,30,True,581,1.0,190,106,296
131,940,940,True,684,1.0,190,86,276
132,60,60,True,1389,1.0,399,110,509
133,13,13,True,1039,1.0,253,98,351
134,720,720,True,655,1.0,200,80,280
135,40,40,True,829,1.0,236,98,334
136,6,6,True,807,1.0,204,96,300
137,29,29,True,1144,1.0,400,127,527
138,105,105,True,1142,1.0,290,125,415
139,70,70,True,752,1.0,214,98,312
140,20,20,True,988,1.0,276,91,367
141,400,400,True,1189,1.0,400,92,492
142,140,140,True,892,1.0,234,98,332
143,16,16.30,False,1105,1.0,364,109,473
144,20,20,True,1216,1.0,345,185,530
145,4000,4000,True,1233,1.0,357,100,457
146,2,2125,False,658,1.0,212,134,346
147,75,60,False,1126,1.0,348,177,525
148,30,30,True,698,1.0,187,119,306
149,16,16,True,953,1.0,255,93,348
150,4,4,True,1139,1.0,358,145,503
151,5,5,True,1379,1.0,469,143,612
152,4,4,True,947,1.0,265,93,358
153,48,48,True,1116,1.0,403,155,558
154,272,272,True,1410,1.0,393,123,516
155,280,280,True,1238,1.0,382,126,508
156,1400,1400,True,788,1.0,210,126,336
157,80,80,True,1340,1.0,394,155,549
158,34,34,True,864,1.0,279,103,382
159,15,3,False,584,1.0,191,111,302
160,16,16,True,681,1.0,210,107,317
161,32,32,True,1138,1.0,340,124,464
162,92,241.79,False,990,1.0,361,94,455
163,50,54,False,881,1.0,272,108,380
164,15,15,True,1279,1.0,321,120,441
165,77,77,True,730,1.0,269,169,438
166,5,5,True,877,1.0,228,113,341
167,16,16,True,942,1.0,308,82,390
168,18,18,True,733,1.0,242,79,321
169,120,120,True,958,1.0,240,83,323
170,150,150,True,877,1.0,300,107,407
171,1210,1210,True,985,1.0,280,108,388
172,51,62,False,1015,1.0,294,114,408
