index,gold_answer,correct,response_length,confidence,completion_tokens,prompt_tokens,total_tokens
0,"\left( 3, \frac{\pi}{2} \right)",True,3690,5.333333333333333,0,0,1413
1,p - q,True,7479,1.0,0,0,3195
2,\frac{14}{3},True,2331,3.0,0,0,1389
3,9,True,3627,1.0,0,0,1488
4,\text{Evelyn},True,5066,2.0,0,0,2880
5,42,True,4383,1.0,0,0,1389
6,27,True,3150,1.0,0,0,1218
7,90^\circ,True,5656,1.0,0,0,2723
8,3\sqrt{13},True,3462,6.333333333333333,0,0,1557
9,4,True,7378,1.0,0,0,3052
10,2220,True,3279,1.0,0,0,1180
11,\frac{3}{56},True,4276,2.6666666666666665,0,0,1704
12,284,True,5580,1.0,0,0,2226
13,5,True,2694,1.0,0,0,1638
14,\sqrt{51},True,2214,1.0,0,0,1206
15,6 - 5i,True,9675,1.0,0,0,4182
16,-50,True,2430,1.0,0,0,1146
17,\pi,True,8965,2.3333333333333335,0,0,3498
18,28,True,4368,1.0,0,0,1938
19,3,True,5835,1.0,0,0,2421
20,6+9i,True,2433,1.0,0,0,975
21,13535,True,4374,1.0,0,0,2292
22,5,True,23736,3.0,0,0,9744
23,x=5,True,3074,5.0,0,0,1139
24,10,True,3897,2.3333333333333335,0,0,1764
25,"1,-2",True,5520,5.333333333333333,0,0,2826
26,144,True,5987,1.0,0,0,1747
27,78,True,5229,1.0,0,0,1932
28,-2 + 7i,True,2550,1.0,0,0,921
29,225,True,4262,1.0,0,0,1756
30,52_8,True,3225,1.0,0,0,1266
31,11\sqrt2,True,5325,8.333333333333334,0,0,1950
32,720,True,3941,1.0,0,0,1343
33,\frac{243}{625},True,8118,1.0,0,0,3840
34,-125,True,4614,1.0,0,0,2283
35,3,True,2685,1.0,0,0,1155
36,"3, 5, 7",True,2801,1.0,0,0,1239
37,72,True,2700,1.0,0,0,864
38,2000,True,1755,1.0,0,0,834
39,23,True,3018,1.0,0,0,1599
40,12,True,3918,1.0,0,0,1638
41,17,True,5499,1.0,0,0,2259
